78m45.214s 78m11.055s 0m12.272s
79m6.300s 78m37.729s 0m12.096s
79m42.440s 79m13.741s 0m11.852s
79m36.131s 79m4.188s 0m12.526s
79m56.566s 79m23.183s 0m13.189s
82m30.626s 82m1.175s 0m12.352s
80m20.031s 79m37.207s 0m18.933s
77m36.486s 77m8.398s 0m12.436s
77m12.347s 76m45.711s 0m11.878s
77m59.460s 77m27.909s 0m16.314s
