0,23644,0100 3
0,30115,0100 1
0,31185,0010 1
0,31631,0010 3
1,19898,0100 2
1,29046,0010 3
10,11153,0100 3
10,19898,0100 2
10,29046,0010 5
10,3734,0100 1
100,20198,0010 3
100,9939,0100 3
1000,9675,0100 1
1000,9683,0100 1
10000,20198,0010 3
10000,30297,0010 1
10001,13506,0100 1
10001,20198,0010 2
10001,27518,0010 2
10001,30129,0100 2
10001,30311,0010 1
10002,10003,0010 3
10002,10005,0010 2
10002,10006,0100 1
10002,10007,0100 22
10002,13500,0100 1
10002,13501,0010 2
10002,20198,0010 32
10002,23495,0100 2
10002,27518,0010 16
10002,30288,0010 1
10002,30289,0010 1
10002,30289,0100 1
10002,30293,0010 1
10002,30294,0010 1
10002,30309,0010 1
10002,30311,0010 2
10002,30326,0010 1
10002,30331,0010 1
10003,10007,0100 10
10003,13501,0010 2
10003,13506,0100 1
10003,15792,0010 2
10003,20198,0010 21
10003,21674,0010 2
10003,27518,0010 18
10003,30129,0010 2
10003,30306,0010 1
10003,30309,0010 1
10003,30311,0010 1
10003,30324,0100 1
10003,30331,0010 1
10004,13500,0100 1
10004,13501,0010 3
10004,20198,0010 12
10004,30288,0010 1
10004,30293,0100 1
10004,30298,0100 1
10004,30300,0100 2
10005,13500,0100 1
10005,13501,0010 1
10005,13506,0100 1
10005,13512,0100 1
10005,20198,0010 10
10005,27518,0010 6
10005,30293,0100 1
10005,30311,0010 1
10006,10007,0010 2
10006,13500,0100 9
10006,13501,0010 6
10006,13506,0100 1
10006,20198,0010 32
10006,30284,0010 1
10006,30284,0100 1
10006,30289,0010 1
10006,30293,0010 2
10007,13500,0100 4
10007,13506,0100 26
10007,13512,0100 1
10007,20198,0010 84
10007,30284,0010 4
10007,30293,0100 3
10007,34335,0100 1
10008,20198,0010 1
10009,12726,0010 8
10009,13096,0100 2
10009,25615,0100 3
10009,25616,0100 8
10009,25617,0100 16
10009,26180,0010 240
10009,27518,0010 35
10009,31184,0100 94
10009,31403,0100 1
10009,33236,0010 41
10009,33236,0100 10
10009,33677,0010 492
1001,1002,0100 1
1001,1005,0100 1
10010,15240,0100 1
10010,30115,0010 2
10010,33677,0100 2
10011,12726,0010 2
10011,33677,0100 3
10012,12726,0010 2
10012,33677,0100 3
10013,12726,0010 2
10013,33677,0100 3
10014,12726,0010 2
10014,15240,0100 2
10015,11972,0100 1
10015,26180,0010 1
10016,10104,0100 1
10016,10105,0100 1
10016,18943,0010 1
10016,18944,0010 1
10016,31185,0010 2
10016,31185,0100 2
10017,10036,0100 16
10017,11972,0010 1
10017,11975,0100 1
10017,20198,0100 11
10017,26180,0010 34
10017,27323,0010 1
10017,28319,0010 3
10017,30115,0010 4
10017,30115,0100 4
10017,31185,0010 1
10017,31185,0100 3
10017,31631,0010 16
10018,15787,0010 2
10018,24166,0100 2
10018,27323,0010 2
10018,31185,0010 4
